R,S,T,I_R,I_S,I_T,Kondisi
241.37,241.42,239.86,1.26,1.39,1.11,1
242.2,242.14,241.97,1.19,1.2,1.17,0
239.77,240.7,240.07,1.02,1.01,1.0,0
237.07,239.43,239.77,1.03,0.82,1.31,1
237.42,237.32,237.41,1.08,1.07,1.09,0
229.9,229.99,230.3,1.16,1.17,1.16,0
238.93,239.48,238.64,1.44,1.15,1.47,1
241.4,241.56,241.87,1.1,1.07,1.09,0
234.68,234.82,234.7,1.08,1.08,1.08,0
238.43,238.48,239.07,1.17,1.2,1.18,0
236.32,236.62,236.32,1.15,1.15,1.15,0
236.54,238.76,238.04,0.86,1.23,1.22,1
231.07,235.21,230.25,1.16,0.82,1.16,1
242.99,233.21,240.96,1.22,1.09,1.34,1
236.08,244.78,230.28,1.4,0.9,1.14,1
237.86,237.15,237.3,1.18,1.19,1.16,0
233.58,232.82,233.35,1.07,1.07,1.07,0
230.96,243.24,235.55,1.14,1.14,0.95,1
238.64,238.8,238.92,1.18,1.19,1.17,0
238.32,237.94,237.42,1.08,1.08,1.07,0
233.07,232.64,233.09,1.09,1.09,1.08,0
230.1,232.59,233.5,1.0,0.84,1.05,1
239.29,239.36,239.32,1.2,1.19,1.2,0
231.78,232.11,232.13,1.12,1.11,1.11,0
236.9,237.65,236.9,1.21,1.18,1.18,0
240.6,240.98,240.11,1.11,1.09,1.1,0
235.28,235.31,235.01,1.18,1.18,1.18,0
241.73,242.15,242.57,1.12,1.11,1.12,0
245.28,244.45,244.96,1.06,1.05,1.07,0
237.82,232.73,239.34,0.82,1.05,0.88,1
232.74,232.31,232.53,1.01,1.03,1.0,0
237.37,237.08,237.38,1.03,1.04,1.03,0
239.19,239.69,239.81,1.13,1.14,1.15,0
238.3,237.77,238.05,1.11,1.11,1.11,0
240.73,241.68,240.95,1.05,1.07,1.08,0
235.59,242.66,234.31,1.17,1.38,0.97,1
235.7,236.16,235.4,1.11,1.09,1.12,0
239.62,234.88,236.44,1.06,1.25,1.23,1
235.35,243.96,238.41,1.08,1.06,1.01,1
237.78,238.42,237.6,1.13,1.15,1.15,0
241.59,238.18,230.31,1.17,1.02,1.27,1
234.42,234.31,233.56,1.11,1.1,1.11,0
244.16,237.17,237.02,1.08,0.93,1.46,1
235.82,235.91,235.06,1.07,1.08,1.08,0
231.45,230.72,230.8,1.13,1.12,1.13,0
243.14,233.89,238.37,1.46,0.97,1.11,1
240.51,237.23,233.98,0.85,1.18,1.34,1
234.35,233.95,233.98,1.09,1.09,1.11,0
244.74,244.37,244.14,1.15,1.18,1.15,0
242.4,234.52,235.92,1.13,1.03,0.88,1
232.82,241.1,232.57,1.24,1.02,1.47,1
231.25,230.52,234.77,1.41,1.21,1.17,1
243.12,233.61,240.47,1.07,1.2,0.83,1
235.06,233.52,243.6,1.0,1.27,1.14,1
243.95,244.25,244.61,1.01,1.03,1.01,0
234.39,233.75,233.93,1.07,1.05,1.05,0
234.73,230.6,244.52,0.98,0.88,1.3,1
243.08,243.78,243.16,1.04,1.03,1.04,0
234.39,243.69,243.65,1.31,1.5,1.22,1
231.61,231.77,237.98,0.97,1.13,1.19,1
233.45,232.84,244.08,1.44,1.4,1.16,1
237.72,237.75,237.17,1.12,1.12,1.1,0
233.79,233.4,233.96,1.04,1.06,1.02,0
231.96,232.98,233.29,1.3,1.23,1.39,1
231.36,231.65,231.2,1.12,1.13,1.15,0
243.19,243.2,243.3,1.14,1.13,1.13,0
230.85,231.17,230.59,1.12,1.09,1.08,1
243.52,231.91,241.61,0.98,0.83,1.31,1
235.64,239.46,231.26,1.32,1.44,1.01,1
242.89,243.17,242.75,1.12,1.13,1.15,0
242.85,243.31,243.47,1.05,1.05,1.02,0
236.55,236.83,236.95,1.07,1.08,1.07,0
239.07,244.26,242.19,1.25,1.21,0.85,1
237.47,239.52,235.26,1.39,1.06,0.9,1
234.66,234.49,234.08,1.1,1.08,1.08,0
240.91,238.48,236.6,1.22,1.4,0.83,1
236.39,236.7,236.09,1.13,1.12,1.14,0
234.94,234.91,234.51,1.03,1.05,1.05,0
232.29,230.78,233.42,0.87,1.15,1.09,1
234.53,234.72,232.94,1.0,1.15,1.16,1
241.84,231.84,233.49,1.46,1.25,1.22,1
244.74,231.19,239.95,0.94,1.1,1.01,1
230.44,230.11,230.77,1.2,1.19,1.2,0
236.73,237.34,237.17,1.18,1.15,1.16,0
243.53,236.59,240.66,1.46,1.41,1.07,1
235.52,235.82,244.12,1.21,0.89,1.15,1
239.79,239.64,239.8,1.05,1.03,1.02,0
241.61,241.52,242.05,1.12,1.13,1.13,0
241.85,241.23,241.4,1.15,1.16,1.16,0
230.49,231.07,230.33,1.13,1.11,1.12,0
237.61,237.58,238.48,1.13,1.15,1.14,0
238.76,237.08,231.79,1.45,0.8,1.46,1
232.45,232.57,232.13,1.03,1.03,1.0,1
233.22,240.43,241.93,1.38,1.06,1.06,1
236.65,231.36,231.55,1.26,0.81,1.22,1
234.74,235.15,234.99,1.0,1.01,1.0,0
237.63,244.46,233.46,1.28,1.44,1.42,1
240.82,240.53,238.86,1.08,1.01,0.9,1
231.39,233.64,239.39,1.09,1.34,1.42,1
239.61,239.95,239.98,1.17,1.17,1.17,0
238.43,237.16,239.41,1.26,1.08,1.13,1
238.74,238.96,238.48,1.07,1.08,1.05,0
238.51,243.23,241.33,1.26,0.84,1.04,1
236.59,237.21,237.22,1.0,1.0,1.0,0
237.47,242.7,232.66,1.1,1.19,0.93,1
231.25,231.07,230.98,1.05,1.03,1.04,0
231.61,232.1,231.51,1.05,1.03,1.03,0
241.22,240.7,241.17,1.2,1.18,1.2,0
237.83,231.84,236.8,1.2,0.87,0.98,1
237.15,235.08,236.67,0.98,1.49,0.97,1
234.57,234.12,234.16,1.17,1.18,1.19,0
235.73,231.24,231.02,1.23,0.94,0.96,1
236.87,236.76,237.23,1.11,1.09,1.09,0
236.19,235.98,231.52,1.35,0.98,1.33,1
233.83,233.66,233.88,1.1,1.11,1.1,0
237.52,236.95,237.15,1.16,1.15,1.14,0
239.67,241.79,240.57,1.01,1.35,1.04,1
240.22,239.39,239.87,1.16,1.16,1.12,0
236.28,235.72,235.77,1.05,1.05,1.08,0
244.17,244.27,244.02,1.02,1.04,1.05,0
232.37,236.44,244.99,1.1,1.02,1.15,1
235.7,235.43,235.91,1.0,1.03,1.0,0
230.5,230.35,229.9,1.15,1.15,1.13,0
239.06,231.0,243.81,1.07,1.08,0.96,1
244.61,244.54,244.97,1.05,1.05,1.02,0
237.81,234.36,239.52,0.98,0.83,0.99,1
242.84,241.43,242.01,1.22,1.15,0.9,1
241.48,242.0,241.8,1.11,1.1,1.08,0
238.29,234.54,239.99,1.38,0.97,0.81,1
231.61,232.27,231.45,1.2,1.2,1.18,0
230.05,233.21,235.2,0.95,0.93,0.88,1
239.46,232.6,232.86,1.43,0.9,1.42,1
240.72,240.9,240.86,1.04,1.04,1.06,0
236.36,235.36,244.5,1.44,1.42,1.21,1
234.31,230.65,235.99,1.02,1.24,1.42,1
232.79,242.78,243.56,1.42,1.19,1.22,1
231.5,236.9,243.36,0.98,0.88,1.41,1
243.39,234.41,241.0,1.17,1.13,0.88,1
232.15,232.13,232.34,1.1,1.1,1.11,0
242.54,242.27,242.22,1.08,1.09,1.07,0
230.65,230.46,231.11,1.11,1.11,1.11,0
233.71,244.47,243.24,1.32,0.9,1.09,1
240.81,241.28,241.48,1.07,1.07,1.09,0
241.15,241.06,241.1,1.05,1.05,1.08,0
235.77,235.4,235.13,1.16,1.14,1.13,0
238.97,239.17,239.48,1.17,1.19,1.19,0
234.88,235.12,234.52,1.12,1.12,1.15,0
237.75,237.61,237.37,1.08,1.07,1.05,0
237.87,232.26,241.05,1.16,1.03,1.47,1
235.09,235.02,235.28,1.18,1.18,1.2,0
243.21,243.95,243.77,1.13,1.11,1.12,0
231.4,231.56,231.74,1.01,1.01,1.0,0
232.91,230.99,238.51,1.41,1.46,1.42,0
235.23,242.03,243.17,0.95,1.47,1.28,1
241.19,232.85,238.46,1.4,1.49,1.46,1
231.76,232.45,231.4,1.31,0.93,0.93,1
244.78,245.04,245.0,1.13,1.16,1.14,0
235.42,235.84,235.04,1.18,1.17,1.16,0
241.48,233.96,236.07,0.81,1.33,1.27,1
234.91,234.57,235.16,1.19,1.2,1.19,0
240.12,236.34,244.96,0.81,1.5,0.91,1
242.21,242.37,242.88,1.17,1.16,1.16,0
241.09,241.74,242.69,0.89,0.88,1.3,1
230.4,229.93,230.26,1.12,1.13,1.12,0
239.73,239.51,239.6,1.21,1.21,1.19,0
242.41,241.97,241.98,1.1,1.07,1.08,0
230.58,230.67,230.28,1.11,1.11,1.14,0
231.45,231.08,230.91,1.17,1.15,1.15,0
243.42,243.13,232.24,1.19,0.94,1.01,1
236.28,236.84,230.08,1.19,1.28,1.47,1
235.32,235.34,235.04,1.11,1.12,1.14,0
240.16,239.66,240.58,1.09,1.1,1.08,0
233.69,239.24,241.48,0.89,1.23,1.28,1
230.48,230.47,238.95,1.05,1.39,1.09,1
238.75,233.78,237.72,1.27,0.92,1.32,1
241.47,230.91,235.9,1.34,1.28,1.44,1
244.89,244.83,234.2,1.36,1.49,1.13,1
244.82,235.91,238.2,1.09,0.92,1.05,1
234.41,241.14,237.1,0.88,1.28,1.5,1
232.32,232.43,232.53,1.01,1.04,1.01,0
240.42,241.67,241.92,1.17,1.43,1.24,1
240.4,243.88,232.18,1.35,1.34,1.1,1
244.15,233.54,239.06,1.29,0.93,1.12,1
241.22,241.9,241.8,1.09,1.11,1.08,0
237.24,237.42,237.09,1.1,1.1,1.13,0
239.01,239.66,239.09,1.05,1.07,1.06,0
236.98,237.06,236.88,1.19,1.18,1.18,0
233.89,238.33,232.32,1.3,0.94,0.83,1
240.02,239.52,241.65,0.96,1.48,1.12,1
244.09,243.68,243.6,1.06,1.06,1.04,0
241.51,238.04,239.68,1.0,1.36,0.96,1
244.7,233.85,233.41,1.21,1.04,0.96,1
230.97,231.29,230.87,1.11,1.13,1.13,0
232.93,237.21,240.71,1.06,0.95,1.49,1
242.5,231.86,232.33,0.92,0.86,0.88,1
239.03,238.78,239.15,1.11,1.1,1.1,0
238.07,237.98,238.51,1.06,1.09,1.05,1
240.07,239.94,239.5,1.03,1.03,1.03,0
231.65,237.77,239.3,1.26,1.07,1.33,1
240.34,240.2,239.91,1.04,1.06,1.06,0
231.99,235.45,232.63,1.18,0.96,1.23,1
236.72,242.73,235.42,1.43,1.31,0.85,1
230.94,237.26,233.61,1.09,1.09,1.23,1
241.54,241.17,241.86,1.16,1.16,1.16,0
233.34,233.77,233.43,1.17,1.17,1.18,0
239.34,234.85,233.78,1.21,0.92,1.3,1
235.27,234.8,234.9,1.16,1.16,1.16,0
235.07,235.12,235.4,1.01,1.0,1.02,0
230.87,231.2,231.27,1.14,1.12,1.12,0
239.93,236.29,230.03,1.44,0.82,1.0,1
232.28,240.75,230.96,1.33,0.83,1.42,1
237.69,244.27,241.17,0.82,1.02,1.17,1
237.38,237.11,237.29,1.03,1.03,1.03,0
235.04,234.7,234.48,1.16,1.16,1.14,0
234.54,233.9,230.75,1.48,1.36,1.22,1
233.3,231.78,238.84,1.26,1.34,1.36,1
231.9,242.91,240.27,1.01,1.09,0.89,1
244.7,236.39,244.26,1.12,0.95,0.82,1
239.88,239.56,239.56,1.05,1.05,1.03,0
233.65,234.34,234.32,1.14,1.15,1.11,0
233.4,233.29,232.95,1.03,1.01,1.03,0
231.35,243.92,233.8,1.11,1.05,1.31,1
231.57,231.28,231.97,1.07,1.07,1.07,0
235.41,235.73,235.44,1.08,1.11,1.1,0
242.37,242.2,236.87,1.39,1.27,1.31,1
238.69,239.7,244.13,1.31,1.07,1.11,1
239.81,239.3,239.15,1.03,1.05,1.06,0
231.64,231.07,231.18,1.05,1.05,1.05,0
241.9,242.11,242.28,0.99,0.99,1.01,0
242.88,242.57,242.47,1.13,1.13,1.12,0
239.88,239.38,239.62,1.21,1.19,1.19,0
237.71,234.71,234.88,1.33,0.93,0.86,1
235.22,240.89,240.47,1.18,0.82,0.86,1
242.52,237.07,231.35,1.26,1.27,1.24,1
239.56,239.78,239.55,1.09,1.06,1.09,0
235.78,236.06,235.88,1.02,1.02,1.04,0
242.46,242.15,241.97,1.0,1.0,1.0,0
242.23,242.72,242.89,1.06,1.09,1.09,0
235.96,244.88,239.5,0.89,1.49,1.16,1
237.18,236.67,236.97,1.01,1.02,1.01,0
242.09,235.9,234.15,1.19,0.9,0.83,1
233.95,233.69,233.55,1.02,1.02,0.99,1
236.83,236.91,236.8,1.11,1.1,1.11,0
241.57,241.15,241.46,1.06,1.04,1.04,0
244.04,244.55,244.42,1.15,1.17,1.13,0
240.43,231.03,243.81,1.13,0.87,1.45,1
232.49,232.12,232.53,1.0,1.0,1.02,0
235.14,239.87,241.98,1.3,1.27,1.15,1
240.43,235.26,233.78,1.42,0.97,1.11,1
236.38,236.25,236.13,1.17,1.18,1.18,0
244.57,231.57,242.86,0.98,1.28,1.03,1
241.01,240.71,240.83,1.13,1.11,1.1,0
241.62,236.37,239.48,1.09,1.39,1.37,1
239.18,238.87,238.51,1.07,1.09,1.06,0
239.31,239.41,238.61,1.11,1.11,1.11,0
230.57,235.81,231.72,1.12,0.87,1.28,1
240.9,236.15,239.94,1.26,1.04,1.22,1
233.78,239.02,233.27,1.19,1.5,0.96,1
240.12,240.17,240.86,1.02,1.01,1.03,0
240.72,238.3,232.94,1.4,1.49,1.26,1
241.25,243.62,239.47,0.93,0.96,1.08,1
234.77,237.11,242.75,0.98,1.29,1.38,1
231.79,232.35,232.18,1.17,1.19,1.18,0
243.84,231.59,232.66,1.15,0.8,0.9,1
240.37,233.73,239.75,0.92,1.19,0.87,1
240.93,240.29,238.6,1.09,0.86,0.91,1
241.69,243.6,244.66,1.08,1.32,1.27,1
231.61,232.4,232.33,1.07,1.07,1.06,0
236.35,230.62,243.72,1.41,1.33,1.29,1
231.12,240.59,232.15,1.31,1.26,1.38,1
232.27,231.6,235.59,1.3,1.45,1.4,1
240.33,240.56,240.37,1.21,1.17,1.17,0
232.06,232.6,232.49,1.16,1.19,1.2,0
240.33,236.94,238.63,1.17,0.95,1.34,1
234.15,234.47,234.21,1.18,1.2,1.17,0
233.11,232.76,232.52,1.15,1.13,1.16,0
237.52,236.8,237.35,1.12,1.08,1.08,1
243.88,230.87,241.32,1.27,1.38,0.82,1
243.2,241.86,240.14,1.03,1.07,1.27,1
241.1,232.54,234.75,1.19,1.05,0.94,1
233.18,232.86,232.46,1.08,1.07,1.09,0
237.29,236.94,237.65,1.12,1.13,1.13,0
232.18,231.32,231.45,1.07,1.05,1.05,0
235.91,235.62,235.42,1.14,1.17,1.17,0
237.66,237.33,239.61,1.48,0.88,0.93,1
243.6,243.83,243.19,1.07,1.06,1.06,0
242.77,234.23,238.03,0.85,1.14,0.9,1
234.49,234.96,234.64,1.17,1.16,1.18,0
230.38,230.55,229.85,1.02,1.05,1.02,0
245.17,244.94,244.53,1.15,1.17,1.14,0
244.95,244.64,244.42,1.07,1.05,1.05,0
241.5,241.47,230.06,1.46,1.29,1.22,1
230.87,237.84,239.87,0.89,0.95,0.94,1
238.94,239.09,239.44,1.04,1.04,1.02,0
232.41,232.23,231.74,1.17,1.17,1.16,0
235.2,240.39,241.47,1.04,1.41,1.14,1
233.54,235.11,232.58,1.08,0.92,1.26,1
230.66,229.85,230.39,1.13,1.11,1.13,0
237.6,238.19,242.41,1.03,1.34,0.85,1
235.23,237.88,238.75,1.24,1.06,0.9,1
234.96,234.99,234.8,1.07,1.09,1.09,0
234.3,235.1,234.44,1.17,1.16,1.17,0
244.86,233.84,239.99,1.3,1.44,0.93,1
244.94,243.22,240.61,1.05,0.95,1.24,1
230.51,230.82,231.36,1.09,1.11,1.12,0
236.26,236.29,236.48,1.03,1.0,1.01,0
236.78,239.92,232.56,0.82,1.07,0.94,1
241.55,241.92,241.71,1.2,1.17,1.17,0
237.56,237.24,237.03,1.09,1.07,1.06,0
234.15,240.57,230.9,1.17,1.28,0.92,1
243.26,244.05,244.0,1.08,1.09,1.09,0
244.63,244.53,243.96,1.0,0.99,1.02,0
238.65,239.64,236.2,1.41,1.38,1.18,1
233.57,233.82,233.46,1.12,1.13,1.12,0
230.23,238.7,240.1,1.21,1.15,1.24,1
244.46,242.6,241.86,1.4,0.86,0.93,1
239.21,239.48,239.47,1.2,1.18,1.2,0
240.79,241.03,240.69,1.11,1.07,1.07,1
239.63,239.51,239.34,1.04,1.03,1.02,0
239.66,239.57,239.94,1.04,1.03,1.06,0
238.62,239.12,239.18,1.16,1.16,1.16,0
237.05,243.53,242.68,0.83,1.35,1.06,1
241.73,242.62,242.13,1.03,1.05,1.04,0
239.12,238.64,239.01,1.09,1.1,1.1,0
239.23,230.53,243.7,1.32,1.15,1.07,1
241.46,239.48,242.63,1.23,1.1,0.83,1
236.26,231.0,230.46,1.45,1.1,1.06,1
230.74,230.15,233.94,0.81,1.35,1.12,1
237.94,238.05,237.35,1.16,1.15,1.17,0
242.03,243.95,244.88,0.91,1.23,1.14,1
243.8,243.62,243.09,1.19,1.17,1.19,0
235.41,235.29,235.64,1.02,0.99,1.0,0
243.64,244.53,243.98,1.02,1.04,1.02,0
230.19,241.48,236.36,1.17,1.46,1.43,1
242.27,237.81,234.45,1.22,0.97,1.25,1
234.35,233.76,234.25,1.17,1.13,1.16,0
235.52,243.44,243.67,0.95,1.16,1.1,1
244.73,244.61,244.55,1.15,1.14,1.13,0
232.94,233.23,232.7,1.12,1.13,1.14,0
231.54,235.46,232.81,0.99,1.28,0.94,1
243.36,237.06,233.25,1.37,0.85,0.99,1
236.53,244.85,241.64,1.38,1.36,1.09,1
236.07,234.75,241.97,0.89,0.99,1.26,1
230.07,230.17,230.9,1.2,1.2,1.18,0
233.56,237.04,239.6,1.03,1.22,0.85,1
236.98,237.44,237.61,1.16,1.15,1.16,0
240.73,240.83,240.8,1.2,1.2,1.19,0
239.32,238.09,233.41,1.2,1.13,1.47,1
237.54,237.66,238.15,1.06,1.06,1.03,0
237.37,237.57,236.85,1.15,1.15,1.15,0
236.11,234.94,244.15,1.5,1.38,0.9,1
241.82,243.47,240.65,1.22,1.3,1.44,1
241.1,244.31,233.14,1.31,1.08,1.46,1
233.52,243.23,239.96,0.88,1.28,0.83,1
237.52,233.13,244.83,1.31,1.48,1.38,1
230.26,229.62,230.38,1.17,1.14,1.17,0
231.1,230.79,230.46,1.13,1.15,1.14,0
241.37,234.78,241.95,1.07,1.02,0.87,1
231.66,231.58,231.46,1.17,1.14,1.16,0
244.05,243.6,234.8,1.0,0.82,1.27,1
231.05,231.23,231.57,1.07,1.1,1.08,0
230.8,230.64,231.34,1.07,1.07,1.08,0
236.03,235.59,235.86,1.05,1.02,1.02,0
234.82,243.38,240.77,1.3,1.2,1.12,1
235.99,236.36,236.34,1.15,1.14,1.17,0
240.98,243.48,231.8,1.37,1.38,1.23,1
231.19,236.99,231.61,1.0,1.39,1.45,1
233.77,243.8,241.94,0.98,0.81,1.44,1
240.76,241.04,240.11,1.17,1.16,1.16,0
239.52,243.53,238.73,1.2,0.82,1.09,1
236.31,237.4,242.52,1.19,1.07,1.18,1
234.7,237.41,230.17,1.3,1.21,0.88,1
240.59,240.68,240.44,1.17,1.17,1.14,0
237.98,234.53,240.56,0.83,0.82,1.5,1
242.9,233.69,237.03,1.27,1.29,1.49,1
231.67,231.02,231.71,1.03,1.03,1.03,0
235.27,235.23,234.86,1.17,1.2,1.19,0
244.03,235.86,241.91,1.13,1.37,1.28,1
230.49,240.05,242.25,1.11,1.02,1.46,1
234.57,244.0,240.9,1.21,1.1,0.81,1
242.36,232.13,231.69,0.95,0.87,1.38,1
236.26,236.71,236.31,1.02,1.02,1.02,0
238.44,244.73,233.73,1.48,1.06,1.18,1
244.69,235.34,231.06,1.38,1.3,1.12,1
230.02,235.01,237.84,1.35,0.86,1.37,1
244.8,240.44,244.89,1.24,1.08,1.06,1
242.68,231.71,235.05,1.47,1.32,1.38,1
239.45,240.16,239.39,1.19,1.18,1.2,0
231.9,231.58,231.72,1.06,1.08,1.07,0
244.98,243.98,243.3,1.23,1.32,0.91,1
243.63,231.6,240.36,1.14,0.92,0.82,1
245.25,245.14,245.22,1.13,1.13,1.13,0
235.51,234.25,230.63,0.95,1.4,1.25,1
230.14,231.53,244.66,1.07,0.99,1.31,1
235.6,235.06,234.74,1.19,1.17,1.19,0
241.85,239.69,231.45,1.15,1.45,1.22,1
234.52,232.64,234.37,1.01,1.29,1.42,1
232.7,232.52,232.52,1.08,1.09,1.06,0
238.9,238.36,238.65,1.11,1.11,1.1,0
239.82,240.28,239.28,0.92,1.11,0.8,1
230.52,230.47,230.25,1.09,1.08,1.06,0
241.45,240.75,241.15,1.09,1.06,1.07,0
231.32,231.32,232.17,1.19,1.19,1.2,0
243.87,237.67,244.09,1.15,1.34,0.87,1
237.79,237.9,238.24,1.09,1.07,1.08,0
243.42,236.18,234.55,1.35,1.41,1.12,1
243.03,242.97,243.19,1.04,1.01,1.03,0
236.12,239.33,232.8,0.86,0.83,1.11,1
242.69,242.24,242.8,1.1,1.07,1.11,0
241.02,241.49,240.91,1.07,1.06,1.05,0
236.88,241.29,240.33,1.24,0.97,0.95,1
243.73,242.86,233.69,0.8,1.01,1.11,1
235.94,235.77,236.29,1.02,1.0,0.99,0
241.7,240.89,240.9,1.18,1.19,1.2,0
230.06,231.61,233.55,0.88,1.42,0.87,1
242.17,242.36,242.67,1.03,1.04,1.04,0
232.84,240.46,240.24,1.15,1.19,1.2,1
234.68,234.4,234.94,1.2,1.2,1.2,0
234.3,234.41,234.52,1.13,1.11,1.13,0
238.29,238.63,238.76,1.04,1.01,1.05,0
232.24,232.81,232.4,1.07,1.06,1.06,0
233.52,237.31,236.98,1.33,1.08,0.94,1
235.81,236.16,236.24,1.14,1.13,1.13,0
237.48,234.28,243.85,1.13,0.83,1.43,1
244.59,245.06,244.23,1.01,1.03,1.03,0
243.96,242.4,235.07,1.4,1.2,1.44,1
235.1,230.5,244.37,1.11,0.81,1.01,1
235.66,239.46,230.86,0.95,1.0,1.3,1
237.58,237.59,237.24,1.02,1.01,1.04,0
243.12,243.05,243.11,1.21,1.21,1.2,0
241.03,243.85,244.29,0.8,1.37,0.87,1
235.75,232.09,244.95,1.28,1.3,1.45,1
236.83,237.52,237.15,1.12,1.11,1.14,0
234.75,239.31,230.55,0.86,1.06,1.17,1
244.73,244.39,244.6,1.21,1.17,1.17,0
237.74,239.09,239.13,1.3,1.05,0.87,1
240.73,241.22,234.92,0.85,0.89,1.32,1
242.12,242.08,242.4,1.12,1.11,1.15,0
231.48,230.94,230.69,1.01,1.02,1.01,0
232.2,241.16,243.33,1.19,1.33,1.16,1
235.4,234.63,235.47,1.15,1.15,1.15,0
243.28,243.35,243.03,1.02,1.02,1.01,0
233.87,235.46,243.33,1.47,1.1,0.9,1
242.18,235.28,236.17,0.94,0.89,1.13,1
233.02,233.3,233.37,1.01,1.0,1.01,0
242.98,243.93,243.31,0.99,1.02,1.0,0
237.73,237.54,238.29,1.18,1.16,1.16,0
237.72,231.85,239.8,1.35,0.85,1.09,1
231.72,231.69,231.07,1.07,1.08,1.08,0
231.07,231.42,231.28,1.01,1.02,1.04,0
243.47,232.13,240.08,1.41,1.39,1.43,1
232.26,232.45,232.38,1.15,1.16,1.16,0
230.57,230.65,230.32,1.21,1.2,1.2,0
240.73,241.48,241.27,1.05,1.05,1.07,0
241.12,241.88,241.83,1.2,1.18,1.2,0
236.15,236.08,236.16,0.99,1.01,1.01,0
231.34,231.32,231.15,1.13,1.13,1.15,0
236.92,230.85,243.84,0.81,0.82,1.04,1
230.74,230.41,231.13,1.1,1.12,1.09,0
240.17,240.43,240.27,1.07,1.06,1.05,0
232.98,233.35,233.43,1.06,1.05,1.05,0
240.89,230.11,233.86,1.12,1.44,1.4,1
241.85,241.64,241.53,1.05,1.03,1.03,0
233.59,233.63,233.71,1.07,1.07,1.1,0
232.47,237.12,237.6,1.34,1.44,1.05,1
235.82,232.71,243.92,1.04,1.07,0.86,1
244.51,242.42,244.87,1.35,1.02,1.02,1
238.87,242.93,230.01,1.37,1.12,1.41,1
234.64,234.98,234.15,1.13,1.15,1.13,0
230.77,230.63,230.66,1.17,1.17,1.17,0
232.78,233.21,233.02,1.04,1.03,1.04,0
240.06,240.35,239.99,1.15,1.17,1.18,0
244.67,244.45,244.2,1.18,1.17,1.19,0
245.14,244.69,244.67,1.19,1.19,1.17,0
230.69,230.87,230.89,1.06,1.06,1.04,0
239.5,239.47,239.91,1.18,1.16,1.16,0
243.91,241.25,240.98,0.88,1.24,1.15,1
